,datahora,satelite,latitude,longitude,diasemchuva,precipitacao,riscofogo,frp
3,2015/09/23 16:29:00,NPP-375,-3.78723,-38.47321,-999.0,0.0,-999.0,
4,2015/09/17 16:41:00,NPP-375,-3.77246,-38.48102,-999.0,0.0,-999.0,
5,2015/10/03 13:04:00,TERRA_M-T,-3.737,-38.586,76.0,0.0,-999.0,
6,2015/10/03 16:41:00,NPP-375,-3.77129,-38.48085,-999.0,0.0,-999.0,
7,2015/10/26 16:10:00,NPP-375,-3.72943,-38.46377,-999.0,0.0,-999.0,
8,2015/10/31 16:16:00,NPP-375,-3.71453,-38.55244,100.0,0.0,-999.0,
9,2015/11/17 15:57:00,NPP-375,-3.85578,-38.53743,65.0,0.0,1.0,
10,2015/11/16 16:16:00,NPP-375,-3.85302,-38.53511,64.0,0.1,1.0,
11,2015/11/18 15:38:00,NPP-375,-3.85768,-38.54134,66.0,0.0,1.0,
12,2015/11/05 03:43:00,NPP-375,-3.71293,-38.58054,107.0,0.0,-999.0,
13,2015/11/09 16:47:00,NPP-375,-3.86226,-38.53166,57.0,0.0,1.0,
14,2015/11/05 03:43:00,NPP-375,-3.79279,-38.49161,-999.0,0.0,-999.0,
15,2015/11/09 16:16:00,AQUA_M-T,-3.863,-38.531,57.0,0.0,1.0,
16,2015/11/23 04:09:00,AQUA_M-M,-3.843,-38.54,71.0,0.3,1.0,
17,2015/11/20 16:41:00,NPP-375,-3.86068,-38.53516,68.0,0.0,1.0,
18,2015/11/25 16:16:00,AQUA_M-T,-3.859,-38.539,73.0,0.0,1.0,
19,2015/11/19 04:21:00,NPP-375,-3.82265,-38.53745,67.0,0.0,-999.0,
20,2015/10/01 16:10:00,AQUA_M-T,-3.861,-38.53,18.0,0.0,1.0,
21,2015/10/01 16:10:00,AQUA_M-T,-3.863,-38.539,18.0,0.0,1.0,
22,2015/11/27 16:09:00,NPP-375,-3.7154,-38.55166,80.0,0.0,-999.0,
23,2015/01/27 16:14:00,NPP-375,-3.81141,-38.46145,-999.0,0.0,-999.0,
24,2015/10/17 15:38:00,NPP-375,-3.75745,-38.48342,-999.0,0.0,-999.0,
25,2015/10/10 16:10:00,NPP-375,-3.84804,-38.54434,27.0,0.0,1.0,
26,2015/12/06 16:41:00,NPP-375,-3.88419,-38.49609,-999.0,0.0,1.0,
27,2015/10/20 16:22:00,NPP-375,-3.71522,-38.55274,89.0,0.3,-999.0,
28,2015/10/23 15:26:00,NPP-375,-3.86184,-38.48265,-999.0,0.0,1.0,
29,2015/11/17 15:57:00,NPP-375,-3.85634,-38.54109,65.0,0.0,1.0,
30,2015/10/21 16:03:00,NPP-375,-3.85243,-38.55143,40.0,0.0,-999.0,
31,2015/09/25 15:51:00,NPP-375,-3.85537,-38.53496,12.0,0.0,1.0,
32,2015/11/27 03:31:00,NPP-375,-3.72129,-38.56059,86.0,0.0,-999.0,
33,2015/10/23 15:26:00,NPP-375,-3.86327,-38.48346,-999.0,0.0,1.0,
34,2015/10/03 04:02:00,NPP-375,-3.84541,-38.5364,20.0,0.0,1.0,
35,2015/10/24 04:08:00,NPP-375,-3.81324,-38.47281,-999.0,0.2,-999.0,
36,2015/11/23 04:46:00,NPP-375,-3.8474,-38.54125,71.0,0.3,1.0,
37,2015/11/16 16:16:00,NPP-375,-3.85445,-38.536,64.0,0.1,1.0,
38,2015/11/10 16:28:00,NPP-375,-3.85006,-38.53268,58.0,0.0,1.0,
39,2015/11/06 16:03:00,NPP-375,-3.85005,-38.53479,54.0,0.0,1.0,
40,2015/11/18 15:38:00,NPP-375,-3.85452,-38.53963,66.0,0.0,1.0,
41,2015/11/16 16:16:00,NPP-375,-3.85365,-38.53924,64.0,0.1,1.0,
42,2015/11/22 16:03:00,NPP-375,-3.86572,-38.53532,70.0,0.0,1.0,
43,2015/10/19 04:02:00,NPP-375,-3.84174,-38.57072,51.0,0.0,1.0,
44,2015/11/01 15:57:00,NPP-375,-3.85836,-38.54398,49.0,0.0,1.0,
45,2015/10/02 15:20:00,NPP-375,-3.75205,-38.58947,76.0,0.0,-999.0,
46,2015/09/29 16:16:00,NPP-375,-3.80116,-38.45757,-999.0,0.0,1.0,
47,2015/11/23 04:46:00,NPP-375,-3.84098,-38.54029,71.0,0.3,1.0,
48,2015/11/27 03:31:00,NPP-375,-3.72282,-38.56236,88.0,0.0,-999.0,
49,2015/02/09 15:29:00,NPP-375,-3.85395,-38.52744,4.0,0.0,0.7,
50,2015/01/31 04:00:00,NPP-375,-3.82793,-38.52653,5.0,0.7,-999.0,
51,2015/08/02 16:05:00,NPP-375,-3.82996,-38.50486,16.0,0.0,-999.0,
0,2013/02/16 16:18:00,NPP-375,-3.7138,-38.55388,,,,
1,2013/02/21 16:24:00,NPP-375,-3.71384,-38.55259,,,,
2,2013/02/21 16:24:00,NPP-375,-3.71823,-38.5519,,,,
3,2013/03/09 16:24:00,NPP-375,-3.76538,-38.58449,,,,
4,2013/04/21 15:16:23,TRMM,-3.73,-38.53,,,,
5,2013/08/01 13:10:00,TERRA_M-T,-3.879,-38.512,,,,
6,2013/08/16 16:26:00,NPP-375,-3.8549,-38.5232,,,,
7,2013/08/17 16:07:00,NPP-375,-3.85617,-38.50656,,,,
8,2013/09/18 16:08:00,NPP-375,-3.80614,-38.49326,,,,
9,2013/09/20 15:52:00,AQUA_M-T,-3.856,-38.546,,,,
10,2013/09/22 03:54:00,NPP-375,-3.83766,-38.46119,,,,
11,2013/09/20 15:30:00,NPP-375,-3.8473,-38.54356,,,,
12,2013/09/20 15:30:00,NPP-375,-3.85274,-38.54071,,,,
13,2013/09/20 15:30:00,NPP-375,-3.85145,-38.53731,,,,
14,2013/09/20 15:30:00,NPP-375,-3.84648,-38.53803,,,,
15,2013/09/20 15:30:00,NPP-375,-3.85227,-38.54289,,,,
16,2013/09/25 15:36:00,NPP-375,-3.80841,-38.61452,,,,
17,2013/09/25 15:36:00,NPP-375,-3.80905,-38.61888,,,,
18,2013/09/30 15:43:00,NPP-375,-3.86791,-38.50469,,,,
19,2013/09/30 15:43:00,NPP-375,-3.86968,-38.50693,,,,
20,2013/02/11 16:11:00,NPP-375,-3.83021,-38.45763,,,,
21,2013/10/09 16:14:00,NPP-375,-3.81733,-38.4602,,,,
22,2013/10/15 16:02:00,NPP-375,-3.85807,-38.53586,,,,
23,2013/10/15 16:02:00,NPP-375,-3.85754,-38.53241,,,,
24,2013/10/20 16:08:00,NPP-375,-3.83802,-38.53872,,,,
25,2013/10/27 15:37:00,NPP-375,-3.86081,-38.5352,,,,
26,2013/11/09 16:33:00,NPP-375,-3.80166,-38.45612,,,,
27,2013/11/19 04:07:00,NPP-375,-3.79909,-38.46369,,,,
28,2013/11/24 14:17:28,TRMM,-3.74,-38.53,,,,
29,2013/11/25 03:55:00,NPP-375,-3.83873,-38.46206,,,,
30,2013/11/26 16:15:00,NPP-375,-3.80066,-38.52356,,,,
