Cidade,ID,Suspeitos,Confirmados,Mortes
Wall Ferraz,221170,0,0,0
Campinas do Piaui,220210,0,0,0
Santa Filomena,220920,0,0,0
Currais,220323,0,0,0
Bonfim do Piaui,220192,0,0,0
Morro Cabeca no Tempo,220665,0,0,0
Itainopolis,220500,0,0,0
Caridade do Piaui,220255,0,0,0
Lagoa do Sitio,220559,0,0,0
Luis Correia,220570,0,0,0
Padre Marcos,220720,0,0,0
Riacho Frio,220885,0,0,0
Miguel Alves,220620,0,0,0
Floresta do Piaui,220385,0,0,0
Campo Alegre do Fidalgo,220211,0,0,0
Sebastiao Barros,221062,0,0,0
Sao Miguel do Fidalgo,221039,0,0,0
Jacobina do Piaui,220515,0,0,0
Nossa Senhora dos Remedios,220680,0,0,0
Bom Principio do Piaui,220191,0,0,0
Alagoinha do Piaui,220025,0,0,0
Murici dos Portelas,220669,0,0,0
Lagoa de Sao Francisco,220557,0,0,0
Novo Santo Antonio,220695,0,0,0
Campo Largo do Piaui,220217,0,0,0
Acaua,220005,0,0,0
Curral Novo do Piaui,220327,0,0,0
Pavussu,220785,0,0,0
Massape do Piaui,220605,0,0,0
Jaicos,220520,0,0,0
Sao Joao do Arraial,220997,0,0,0
Joaquim Pires,220540,0,0,0
Ribeira do Piaui,220887,0,0,0
Aroeiras do Itaim,220095,0,0,0
Queimada Nova,220865,0,0,0
Brejo do Piaui,220198,0,0,0
Sao Joao da Fronteira,220987,0,0,0
Pau D'Arco do Piaui,220779,0,0,0
Paqueta,220755,0,0,0
Milton Brandao,220635,0,0,0
Guaribas,220455,0,0,0
Caraubas do Piaui,220253,0,0,0
Joca Marques,220545,0,0,0
Vera Mendes,221150,0,0,0
Lagoa do Barro do Piaui,220556,0,0,0
Tamboril do Piaui,221095,0,0,0
Assuncao do Piaui,220105,0,0,0
Cocal dos Alves,220272,0,0,0
Cocal,220270,0,0,0
Betania do Piaui,220173,0,0,0
Caxingo,220265,0,0,0
Sao Francisco de Assis do Piaui,220965,0,0,0
